gene,group,label,log2exp,time,replicate
142791_at,group1,B_05.cel,15.1643765223451,5,B
142356_at,group2,B_05.cel,9.53594844271614,5,B
143051_at,group2,B_05.cel,9.33763649590338,5,B
141311_at,group2,B_05.cel,8.31587767119463,5,B
141404_at,group2,B_05.cel,9.74214679868107,5,B
142200_at,group2,B_05.cel,12.0094163815756,5,B
142661_at,group3,B_05.cel,10.0583580941516,5,B
142342_at,group3,B_05.cel,8.55440275507283,5,B
141251_at,group3,B_05.cel,11.224643772165,5,B
142709_s_at,group3,B_05.cel,10.6762074654957,5,B
142798_at,group1,B_06.cel,15.4664082610836,6,B
142472_at,group1,B_06.cel,15.4501302341468,6,B
143074_at,group1,B_06.cel,15.2581752669888,6,B
143143_at,group1,B_06.cel,15.3113579124448,6,B
142791_at,group1,B_06.cel,15.3105010301868,6,B
142356_at,group2,B_06.cel,11.2527629764258,6,B
143051_at,group2,B_06.cel,11.1900652773825,6,B
141311_at,group2,B_06.cel,8.90076977511412,6,B
141404_at,group2,B_06.cel,9.81099885157568,6,B
142200_at,group2,B_06.cel,12.5779075905627,6,B
142661_at,group3,B_06.cel,10.5370744886115,6,B
142342_at,group3,B_06.cel,8.67909382109317,6,B
141251_at,group3,B_06.cel,9.68952004616591,6,B
142709_s_at,group3,B_06.cel,10.5474270589945,6,B
142798_at,group1,B_07.cel,15.4624301695752,7,B
142472_at,group1,B_07.cel,15.4461521426384,7,B
143074_at,group1,B_07.cel,15.3101318643036,7,B
143143_at,group1,B_07.cel,15.3196491110947,7,B
142791_at,group1,B_07.cel,15.3084544367862,7,B
142356_at,group2,B_07.cel,12.3077297225063,7,B
143051_at,group2,B_07.cel,11.9987778001645,7,B
141311_at,group2,B_07.cel,9.32351428839193,7,B
141404_at,group2,B_07.cel,10.9679715133218,7,B
142200_at,group2,B_07.cel,13.1972103858606,7,B
142661_at,group3,B_07.cel,10.7603756725223,7,B
142342_at,group3,B_07.cel,8.3843391054582,7,B
141251_at,group3,B_07.cel,10.1876366476827,7,B
142709_s_at,group3,B_07.cel,10.694717724056,7,B
142798_at,group1,B_08.cel,15.4659766351336,8,B
142472_at,group1,B_08.cel,15.4440622166131,8,B
143074_at,group1,B_08.cel,15.1552228458129,8,B
143143_at,group1,B_08.cel,15.299719332359,8,B
142791_at,group1,B_08.cel,15.3120009023447,8,B
142356_at,group2,B_08.cel,12.1411866643784,8,B
143051_at,group2,B_08.cel,11.9111616058914,8,B
141311_at,group2,B_08.cel,9.52369382032178,8,B
141404_at,group2,B_08.cel,11.3401261377097,8,B
142200_at,group2,B_08.cel,13.0032282872441,8,B
142661_at,group3,B_08.cel,10.6970594687239,8,B
142342_at,group3,B_08.cel,8.58586227889567,8,B
141251_at,group3,B_08.cel,10.0581266359337,8,B
142709_s_at,group3,B_08.cel,10.5427908669537,8,B
142798_at,group1,B_09.cel,15.462384924085,9,B
142472_at,group1,B_09.cel,15.4461068971482,9,B
143074_at,group1,B_09.cel,15.316674366898,9,B
143143_at,group1,B_09.cel,15.2957864293455,9,B
142791_at,group1,B_09.cel,15.308409191296,9,B
142356_at,group2,B_09.cel,12.4747841999931,9,B
143051_at,group2,B_09.cel,12.2515754024602,9,B
141311_at,group2,B_09.cel,10.3487449829528,9,B
141404_at,group2,B_09.cel,12.0826241448055,9,B
142200_at,group2,B_09.cel,12.9003520498637,9,B
142661_at,group3,B_09.cel,10.997629877569,9,B
142342_at,group3,B_09.cel,8.58205250610959,9,B
141251_at,group3,B_09.cel,10.9827178911949,9,B
142709_s_at,group3,B_09.cel,10.638758983046,9,B
142798_at,group1,B_10.cel,15.461593576578,10,B
142472_at,group1,B_10.cel,15.4445925218012,10,B
143074_at,group1,B_10.cel,15.3434136513306,10,B
143143_at,group1,B_10.cel,15.344409817965,10,B
142791_at,group1,B_10.cel,15.3458108786272,10,B
142356_at,group2,B_10.cel,13.2545217826737,10,B
143051_at,group2,B_10.cel,12.1617685907067,10,B
141311_at,group2,B_10.cel,11.3773459733094,10,B
141404_at,group2,B_10.cel,13.4356372186617,10,B
142200_at,group2,B_10.cel,8.76634056006792,10,B
142661_at,group3,B_10.cel,10.7881124027488,10,B
142342_at,group3,B_10.cel,8.57837601157425,10,B
141251_at,group3,B_10.cel,11.9870152688616,10,B
142709_s_at,group3,B_10.cel,10.9731639359687,10,B
142798_at,group1,B_11.cel,15.4632656253392,11,B
142472_at,group1,B_11.cel,15.4469875984024,11,B
143074_at,group1,B_11.cel,15.3336448664265,11,B
143143_at,group1,B_11.cel,15.3177282989087,11,B
142791_at,group1,B_11.cel,15.3093418580917,11,B
142356_at,group2,B_11.cel,13.3228644364327,11,B
143051_at,group2,B_11.cel,12.2557517731432,11,B
141311_at,group2,B_11.cel,13.1959013397905,11,B
141404_at,group2,B_11.cel,14.3193147257668,11,B
142200_at,group2,B_11.cel,13.0935962989536,11,B
142661_at,group3,B_11.cel,11.6677718239003,11,B
142342_at,group3,B_11.cel,8.7729828851703,11,B
141251_at,group3,B_11.cel,12.6306556944569,11,B
142709_s_at,group3,B_11.cel,11.0084486551708,11,B
142798_at,group1,B_12.cel,15.4605052731102,12,B
142472_at,group1,B_12.cel,15.4442272461733,12,B
143074_at,group1,B_12.cel,15.3716558286173,12,B
143143_at,group1,B_12.cel,15.3149679466797,12,B
142791_at,group1,B_12.cel,15.3098229701393,12,B
142356_at,group2,B_12.cel,13.775259605277,12,B
143051_at,group2,B_12.cel,12.1452306815763,12,B
141311_at,group2,B_12.cel,13.8390378140139,12,B
141404_at,group2,B_12.cel,14.4633596885446,12,B
142200_at,group2,B_12.cel,13.2330023966576,12,B
142661_at,group3,B_12.cel,12.0108870550303,12,B
142342_at,group3,B_12.cel,8.70639128729603,12,B
141251_at,group3,B_12.cel,12.7747432686749,12,B
142709_s_at,group3,B_12.cel,11.3716075456109,12,B
142798_at,group1,C_01.cel,15.4162663896297,1,C
142472_at,group1,C_01.cel,15.4117481705752,1,C
143074_at,group1,C_01.cel,15.4649022675338,1,C
143143_at,group1,C_01.cel,14.9795071208268,1,C
142791_at,group1,C_01.cel,14.8889033896048,1,C
142356_at,group2,C_01.cel,7.61335213319877,1,C
143051_at,group2,C_01.cel,6.3241533400904,1,C
141311_at,group2,C_01.cel,8.17911081067168,1,C
141404_at,group2,C_01.cel,9.38094761922477,1,C
142200_at,group2,C_01.cel,8.59723084522585,1,C
142661_at,group3,C_01.cel,13.6864267104805,1,C
142342_at,group3,C_01.cel,12.2211024674412,1,C
141251_at,group3,C_01.cel,12.914744083857,1,C
142709_s_at,group3,C_01.cel,13.6590182680644,1,C
142798_at,group1,C_02.cel,15.4603692042283,2,C
142472_at,group1,C_02.cel,15.3509461493467,2,C
143074_at,group1,C_02.cel,15.4460269072221,2,C
143143_at,group1,C_02.cel,15.117289887838,2,C
142791_at,group1,C_02.cel,14.9985509914945,2,C
142356_at,group2,C_02.cel,7.51238913969236,2,C
143051_at,group2,C_02.cel,6.50055838001949,2,C
141311_at,group2,C_02.cel,8.42464904256825,2,C
141404_at,group2,C_02.cel,9.38954747561318,2,C
142200_at,group2,C_02.cel,8.8491060956953,2,C
142661_at,group3,C_02.cel,13.6401507809187,2,C
142342_at,group3,C_02.cel,11.9749159969432,2,C
141251_at,group3,C_02.cel,12.8595382234478,2,C
142709_s_at,group3,C_02.cel,13.7601907409979,2,C
142798_at,group1,C_03.cel,15.4632682971822,3,C
142472_at,group1,C_03.cel,15.446264629198,3,C
143074_at,group1,C_03.cel,15.414712856181,3,C
143143_at,group1,C_03.cel,15.3248911333207,3,C
142791_at,group1,C_03.cel,15.2728910776188,3,C
142356_at,group2,C_03.cel,7.98718020861798,3,C
143051_at,group2,C_03.cel,6.91289363318253,3,C
141311_at,group2,C_03.cel,8.23550312816666,3,C
141404_at,group2,C_03.cel,9.09134109410816,3,C
142200_at,group2,C_03.cel,10.7589473550968,3,C
142661_at,group3,C_03.cel,12.7961518637787,3,C
142342_at,group3,C_03.cel,9.68275918746717,3,C
141251_at,group3,C_03.cel,13.0139240495461,3,C
142709_s_at,group3,C_03.cel,13.4450460722302,3,C
142798_at,group1,C_04.cel,15.4635377978271,4,C
142472_at,group1,C_04.cel,15.4472597708902,4,C
143074_at,group1,C_04.cel,15.4039706700466,4,C
143143_at,group1,C_04.cel,15.3492899979244,4,C
142791_at,group1,C_04.cel,15.3095620650381,4,C
142356_at,group2,C_04.cel,8.71033786696646,4,C
143051_at,group2,C_04.cel,8.67684681870703,4,C
141311_at,group2,C_04.cel,8.37508827227096,4,C
141404_at,group2,C_04.cel,9.38418671044492,4,C
